"Story","Title","Result","Date","Stability","Duration (s)"
"User","Create no of user in a one request with Array","SUCCESS","2021-02-11T11:06:23.386+01:00[Europe/Berlin]","0.0","3.67"
"User","Create no of user in a one request with list","SUCCESS","2021-02-11T11:06:27.054+01:00[Europe/Berlin]","0.0","3.59"
