"Story","Title","Result","Date","Stability","Duration (s)"
"Store Information","As a user I would like to maintain my pet store order cart","SUCCESS","2021-02-11T11:06:55.045+01:00[Europe/Berlin]","0.0","5.64"
"Store Information","As a store owner, I would like to check my inventory","SUCCESS","2021-02-11T11:07:00.683+01:00[Europe/Berlin]","0.0","2.02"
